benchmark,variant,pass_order,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
string-work,unroll-4,inline-tail-unroll,"--unroll-factor=4 --pass-order=inline,tail,unroll",12881,678,5,1,19.84119650296634,20.022683005663566,20.295359499868937,64
string-work,unroll-4,unroll-inline-tail,"--unroll-factor=4 --pass-order=unroll,inline,tail",12881,678,5,1,19.534204999217764,20.109627992496826,20.31435049866559,64
string-work,unroll-4,unroll-tail-inline,"--unroll-factor=4 --pass-order=unroll,tail,inline",12881,678,5,1,19.759342503675725,20.195842007524334,20.77199599443702,64
string-work,unroll-4,tail-inline-unroll,"--unroll-factor=4 --pass-order=tail,inline,unroll",12881,678,5,1,19.51499500137288,19.743854005355388,20.728331503050867,64
string-work,unroll-4,tail-unroll-inline,"--unroll-factor=4 --pass-order=tail,unroll,inline",12881,678,5,1,19.983653000963386,20.312963009928353,20.36958850658266,64
string-work,unroll-8,inline-unroll-tail,"--unroll-factor=8 --pass-order=inline,unroll,tail",12881,678,5,1,19.778299501922447,19.841348999761976,20.076228996913414,64
string-work,unroll-8,inline-tail-unroll,"--unroll-factor=8 --pass-order=inline,tail,unroll",12881,678,5,1,19.458985996607225,19.798025998170488,20.242390004568733,64
string-work,unroll-8,unroll-inline-tail,"--unroll-factor=8 --pass-order=unroll,inline,tail",12881,678,5,1,19.47281499451492,20.192829993902706,20.79494099598378,64
string-work,unroll-8,unroll-tail-inline,"--unroll-factor=8 --pass-order=unroll,tail,inline",12881,678,5,1,19.222403498133644,19.672612004796974,20.711530502012465,64
string-work,unroll-8,tail-inline-unroll,"--unroll-factor=8 --pass-order=tail,inline,unroll",12881,678,5,1,19.616363999375608,19.941357997595333,20.50966099341167,64
string-work,unroll-8,tail-unroll-inline,"--unroll-factor=8 --pass-order=tail,unroll,inline",12881,678,5,1,19.842425499518868,20.40464298625011,20.571218999975827,64
string-work,tail-off,inline-unroll-tail,"--tail=off --pass-order=inline,unroll,tail",12881,678,5,1,19.907438996597193,20.207413006573915,20.522756996797398,64
string-work,tail-off,inline-tail-unroll,"--tail=off --pass-order=inline,tail,unroll",12881,678,5,1,19.510514503053855,19.858040002873167,20.013618493976537,64
string-work,tail-off,unroll-inline-tail,"--tail=off --pass-order=unroll,inline,tail",12881,678,5,1,19.821786998363677,20.355442989966832,20.978934000595473,64
string-work,tail-off,unroll-tail-inline,"--tail=off --pass-order=unroll,tail,inline",12881,678,5,1,19.615231998614036,20.048921986017376,20.6397410001955,64
string-work,tail-off,tail-inline-unroll,"--tail=off --pass-order=tail,inline,unroll",12881,678,5,1,20.13940900360467,20.24291099223774,20.631254999898374,64
string-work,tail-off,tail-unroll-inline,"--tail=off --pass-order=tail,unroll,inline",12881,678,5,1,19.64822699665092,19.922842999221757,20.328006001363974,64
string-work,combo-inline-unroll,inline-unroll-tail,"--unroll-factor=4 --no-inline --pass-order=inline,unroll,tail",12881,678,5,1,20.41804049804341,20.535435003694147,20.921111994539388,64
string-work,combo-inline-unroll,inline-tail-unroll,"--unroll-factor=4 --no-inline --pass-order=inline,tail,unroll",12881,678,5,1,19.584906003728975,19.799048008280806,20.5106134962989,64
string-work,combo-inline-unroll,unroll-inline-tail,"--unroll-factor=4 --no-inline --pass-order=unroll,inline,tail",12881,678,5,1,19.62031899165595,20.091052996576764,21.055652490758803,64
string-work,combo-inline-unroll,unroll-tail-inline,"--unroll-factor=4 --no-inline --pass-order=unroll,tail,inline",12881,678,5,1,19.867438495566603,20.26708298944868,20.925418997649103,64
string-work,combo-inline-unroll,tail-inline-unroll,"--unroll-factor=4 --no-inline --pass-order=tail,inline,unroll",12881,678,5,1,19.5257719969959,20.506637010839768,21.236415006569587,64
string-work,combo-inline-unroll,tail-unroll-inline,"--unroll-factor=4 --no-inline --pass-order=tail,unroll,inline",12881,678,5,1,20.008627994684502,20.441368003957905,20.72341500024777,64
nested-loop,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",19706,753,5,1,19.373777002329007,20.121904992265627,20.534544011752587,104448
